
ModelBox: 512 models
-> -3.70659857927915*x**2 + 9.97750651566421*exp(0.025254492819415*x) - 9.95505090147263*exp(-0.43908293844165*x**2), p = 2.2649241600000005e-06, parse trees = 1, valid = True, error = 0.0005342751916675301, time = 1195.659169435501
-> -0.334885700073276*x**6 + 0.456584269295504 - 0.406598317133819*exp(-2.83152447366792*x**2), p = 9.393093476352005e-08, parse trees = 1, valid = True, error = 0.0005384012261176864, time = 94.32228565216064
-> -1.06201048671507*x**4 + 1.15712987620128*x**2 + 0.0548860175500927*exp(-6.92840342711782*x**3), p = 2.6091926323200006e-07, parse trees = 1, valid = True, error = 0.0005393887447054397, time = 105.03024864196777
-> -0.338528124863382*x**5 - 0.9109260933366*x**3 + 1.29840367199234*x**2 + 0.0496032325243466, p = 3.1164029812101624e-10, parse trees = 1, valid = True, error = 0.0005458703207001596, time = 86.30352354049683
-> 0.909771410634721*sqrt(x**4) - 2.53425329235263*exp(0.298930752002566*x**4) + 2.5950656171242, p = 1.4495514624000005e-07, parse trees = 1, valid = True, error = 0.0005629955345374136, time = 295.921914100647
-> 0.483959704700661*sqrt(x**2) - 0.0140255538108106*exp(3.43090413921093*x**4), p = 6.291456000000001e-06, parse trees = 1, valid = True, error = 0.0005652562121165839, time = 118.70512080192566
-> 0.483705040847958*x - 0.0139200897471405*exp(3.43815443685174*x**4), p = 7.4855743488e-05, parse trees = 2, valid = True, error = 0.0005652564651304443, time = 36.5234854221344
-> -1.04443412453806*x**3 + 1.62387487205435*x - 0.47001007610634 + 0.41770906861735*exp(-9.99863180755922*x**2), p = 2.7052109211893765e-09, parse trees = 1, valid = True, error = 0.0005703843767615848, time = 269.8944969177246
-> 0.497174640562803*sqrt(x) - 0.299264523267975*x**7 - 0.0953344050451057, p = 1.6582868729856005e-07, parse trees = 2, valid = True, error = 0.0005736880134152102, time = 64.07009840011597
-> -0.225858722231919*sqrt(x) - 0.537336159189397*x**4 + 0.843277794513391*x + 0.0334538781660232, p = 6.01157982486528e-10, parse trees = 1, valid = True, error = 0.0005871860077449394, time = 201.41591620445251
