t,x,y,z,dx,dy,dz
10.77,9.99622969168587,9.765420304811036,29.169962697428467,-2.3051841752703695,-21.404252113499656,19.78523562051535
10.78,9.963614954424214,9.54268796568973,29.35334117015939,-4.201032554547268,-22.96582536819516,16.76836905279
10.790000000000001,9.912209040594925,9.306103797447133,29.505330078484267,-6.0476395809200945,-24.163396051629782,13.537985161073962
10.8,9.842662162805812,9.059420044657134,29.62410087338087,-7.814148058146575,-24.980107224039738,10.15683835199681
10.81,9.755926079431994,8.806501652966338,29.708466845524203,-9.471574225828139,-25.410294709726333,6.689299162212059
10.82,9.65323067828925,8.551214150462608,29.75788685662511,-10.993686591584417,-25.45922272128278,3.198924268302683
10.83,9.536052347600306,8.297317198540682,29.772445330890257,-12.357747866823132,-25.142250079884043,-0.25378464401004663
10.84,9.406075720952787,8.048369148864927,29.75281116374491,-13.54508296892325,-24.483518857506546,-3.613296191798554
10.85,9.26515068822184,7.807646821390551,29.700179407054286,-14.541450042857651,-23.514290568589047,-6.830540084989956
10.86,9.115246720095634,7.578083337493146,29.61620036204511,-15.337206541048776,-22.271072730258588,-9.863919364938667
10.870000000000001,8.958406557400865,7.362225366785379,29.502901019755512,-15.927276950223579,-20.793680237411483,-12.679835083974744
10.88,8.796701181091162,7.162209732744916,29.362603660365615,-16.310941364157916,-19.123363392744384,-15.252754435822524
10.89,8.632187730117707,6.979758098930492,29.197845931039062,-16.491473759841924,-17.30111108940453,-17.564884463309305
10.9,8.466871705894324,6.8161875109568255,29.01130597109943,-16.475665007906493,-15.366207923000585,-19.605533626827665
10.91,8.302674429959577,6.67243394047048,28.80573525850251,-16.27326827701241,-13.35509230123968,-21.370252477705343
10.92,8.141406340354076,6.549085664932032,28.58390092154532,-15.896403912559753,-11.300532694906895,-22.85984368786771
10.93,7.984746351708382,6.446423286572342,28.348538384745154,-15.358957701198506,-9.231113779886657,-24.079322968779415
10.94,7.834227186330105,6.364463389334299,28.102314462169733,-14.676001434363517,-7.171004913226087,-25.036898623428172
10.950000000000001,7.6912263230211115,6.30300318830782,27.84780041227659,-13.863258642650456,-5.139970659010107,-25.743021230320373
10.96,7.556962013477096,6.261663976154097,27.587454037563326,-12.936632000866943,-3.1535765304540053,-26.20953848615475
10.97,7.432493683003773,6.23993165769874,27.323609642553496,-11.911802774607017,-1.2235417680904082,-26.448975188172952
10.98,7.318725957984956,6.2371931407922885,27.058474533799867,-10.80390720746287,0.6418064169690041,-26.473945757394546
10.99,7.216415538854515,6.25276778603812,26.794130727405605,-9.62729018297761,2.4370174597756478,-26.29669706596065
11.0,7.126180154325404,6.285933489987801,26.532540592480654,-8.395332942984224,4.158974549195493,-25.928772666299693
11.01,7.048508879994831,6.33594727702203,26.27555527407961,-7.12034909563406,5.806350696667373,-25.380785546209417
11.02,6.9837731724127226,6.402060503921149,26.024924881556466,-5.813541514503751,7.379083332722525,-24.662284798793266
11.03,6.932238049704756,6.483528943676481,25.782309578103746,-4.48501187747854,8.877880837922714,-23.781701574779568
11.040000000000001,6.894072934863152,6.579618120679603,25.549290850060874,-3.143814360951147,10.30376927406187,-22.746360862318582
11.05,6.869361762485733,6.689604329157718,25.327382360857374,-1.7980452286817883,11.657683573257982,-21.562547558380807
11.06,6.858112030289516,6.812771792144763,25.118039898893258,-0.4549605834774262,12.940104565781807,-20.235617579323595
11.07,6.860262550816184,6.948406420473354,24.922670009270902,0.8788847497619656,14.150741408391498,-18.770147113829516
11.08,6.875689725284755,7.095786620312593,24.742636956616668,2.1974834809614485,15.288258099821128,-17.170115332787717
11.09,6.904212220435413,7.254171582469777,24.579267702615148,3.4952127923141507,16.350042708446153,-15.439117783763123
11.1,6.945593981131038,7.422787474481516,24.433854600941405,4.766666864104607,17.332018558355422,-13.580609201128624
11.11,6.999545557717505,7.600811953636885,24.307655518592576,6.006489410562921,18.22849779240827,-11.59817547722053
11.120000000000001,7.065723769342297,7.787357430329681,24.201891091396995,7.20921034110229,19.03207933261721,-9.495834993794183
11.13,7.143729764539551,7.9814535402892295,24.117738818716692,8.369090553304881,19.733595161898254,-7.278369343324087
11.14,7.233105580408394,8.182029333567646,24.056323704530513,9.479978955153445,20.32211091596161,-4.951682613121378
11.15,7.33332934364262,8.387895758608462,24.018705166454264,10.535186095037297,20.784988843458585,-2.5231867927585583
11.16,7.44380930230914,8.597729110436818,24.00585996867534,11.527379221082201,21.108023070023663,-0.002208443427953455
11.17,7.563876928064264,8.810056220008935,24.018660997585705,12.448504152822748,21.27565854814879,2.5995915060230246
11.18,7.692779385365595,9.023242281399794,24.057851798795802,13.289739961096858,21.271305799185924,5.26779708855063
11.19,7.829671727286201,9.235482335992653,24.124016939356718,14.041493026727148,21.077763212589318,7.984832890560689
11.200000000000001,7.973609245900138,9.44479754565158,24.217548456607016,14.693437469625925,20.67775687728135,10.729598515407446
11.21,8.12354047667872,9.64903747353828,24.338608909664867,15.23460906404499,20.054604283554145,13.4771702628532
11.22,8.278301427181038,9.845889631322663,24.48709186186408,15.653559417474838,19.193002384559144,16.198603867598393
11.23,8.436611665028217,10.032897521229463,24.662580987016835,15.938576209933153,18.079932183590053,18.860876703476315
11.24,8.597072951379701,10.207488274994464,24.864309395933606,16.07797348750708,16.705661146447603,21.427010594292817
11.25,8.758171134778358,10.367010744158415,25.09112119890269,16.060453223050608,15.064811557111568,23.85641622339012
11.26,8.918282015840713,10.508784506136696,25.34143772040141,15.875535498602211,13.15744808504089,26.10549597821059
11.27,9.075681844750402,10.630159705859233,25.613231118466903,15.51404972334236,10.99012245952542,28.128532861904354
11.28,9.22856301030756,10.728586955327204,25.904008377639496,14.968673408381239,8.576798935410146,29.878878104111628
11.290000000000001,9.375055312918027,10.801695684567436,26.210808680549135,14.234498477776114,5.939573372130269,31.310429097084835
11.3,9.513252979863083,10.84737842276981,26.530216959581193,13.30959840543704,3.10909373897017,32.37936289562846
11.31,9.641247281026768,10.86387755934684,26.858395938461705,12.195563323807335,0.12459321922984046,33.04606040124032
11.32,9.75716424633923,10.849870287154406,27.191138167606,10.897965502386686,-2.966539101759569,33.27712528203399
11.33,9.859206591074502,10.804546777311648,27.523938444102384,9.426715168552935,-6.1096996121688285,33.04737348915019
11.34,9.945698549710288,10.72767629491103,27.852085637389003,7.796267412324731,-9.244536732128683,32.34164840350058
11.35,10.015131939320996,10.619656042669074,28.170771412172396,6.025645544358671,-12.30691037098266,31.15630771449478
11.36,10.066211460597462,10.481538087491376,28.4752117916789,4.138255048396466,-15.231261994181633,29.500234823015425
11.370000000000001,10.097897040288926,10.315030802785442,28.760776108632705,2.161474951941056,-17.953264359703258,27.395251892692407
11.38,10.109440959636283,10.122472800297311,29.023116829532746,0.12602920155542208,-20.41257957022431,24.87585319117649
11.39,10.100417624320034,9.906779211380956,29.258293172456234,-1.9348419352474444,-22.5555285941053,21.988232742522484
11.4,10.070744120931334,9.671362228415205,29.462881484383196,-3.986373157684664,-24.337470016419438,18.788643522137072
