t,x,y,u,v,dx,dy,du,dv
4.04,-1.700054321455309,-2.105773464046398,0.07093312882944833,-0.7086618907737594,-2.1056542139291423,7.088732962282829,-0.7088160807884415,1.20870632494815
4.05,-1.720756387439572,-2.0345283785171513,0.06390539481201304,-0.6970373453199064,-2.0344248932176567,7.155555366039512,-0.6971878685723811,1.1173024648503393
4.0600000000000005,-1.7407428193196621,-1.9626623567256076,0.056989371458000704,-0.6863158414767526,-1.9625745139830841,7.212956865546238,-0.6864622084764932,1.0282448308822634
4.07,-1.7600078777192336,-1.8902692412062265,0.05017615064248318,-0.6764724487022611,-1.8901968547385906,7.261029964161869,-0.6766142048401224,0.9418166186742793
4.08,-1.778546756414434,-1.8174417574423702,0.04345708736119826,-0.667479509103267,-1.8173845801527255,7.299904607417795,-0.6676162361628861,0.858279649524285
4.09,-1.7963555693222881,-1.7442711490578706,0.03682382591922546,-0.6593068557117754,-1.7442288766365555,7.32974614168973,-0.6594381729803783,0.7778735838115169
4.1,-1.813431333947165,-1.6708468346085756,0.03026832390159069,-0.6519220374270367,-1.6708191094734315,7.350753052796799,-0.6520476024146109,0.7008153717940502
4.11,-1.8297719515117568,-1.5972560880019346,0.023782873870933238,-0.6452905482758944,-1.5972425035165716,7.363154519667236,-0.6454100570569722,0.6272989349192126
4.12,-1.8453761840174965,-1.523583744215231,0.017360122760451246,-0.6393760587286524,-1.523583849125787,7.367207819009824,-0.639489245925742,0.5574950677944557
4.13,-1.8602436284942725,-1.4499119316217381,0.0109930889524184,-0.6341406469200053,-1.4499252346525604,7.363195616987983,-0.6342472853510207,0.4915515484022581
4.14,-1.8743746887105477,-1.3763198318754712,0.004675177053430832,-0.6295450277606073,-1.3763458064234735,7.351423183356709,-0.6296449277765901,0.429593441957693
4.15,-1.887770544622742,-1.302883467954604,-0.0015998096031134038,-0.6255487780808514,-1.3029215568268304,7.332215562418609,-0.6256417866228473,0.3717235820787146
4.16,-1.9004331198470843,-1.229675520627099,-0.007837658679026114,-0.622110556119033,-1.2297251407708543,7.3059147335658325,-0.6221965555236205,0.3180232116023751
4.17,-1.912365047438159,-1.1567651732832873,-0.014043740713585814,-0.6191883138488039,-1.156825720457888,7.27287679212073,-0.6192672204340121,0.2685527644263108
4.18,-1.923569634256242,-1.0842179847846845,-0.020223003087706356,-0.6167395008305068,-1.0842888381284221,7.233469178786589,-0.6168112632948053,0.22335276927316627
4.19,-1.9340508242007275,-1.0120957897075555,-0.02637996597948192,-0.6147212584633406,-1.0121763161605069,7.188067983367058,-0.6147858561296007,0.18244485613092554
4.2,-1.9438131605794522,-0.9404566251173433,-0.03251872021029837,-0.6130906037078883,-0.9405461836646922,7.137055345531551,-0.6131480446439045,0.14583284629738347
4.21,-1.9528617478740213,-0.8693546827969245,-0.03864292687236001,-0.6118046015373929,-0.8694526285024984,7.080816972399728,-0.6118549205830406,0.11350390746191485
4.22,-1.9612022131495022,-0.7988402856693487,-0.04475581862195918,-0.61082052555865,-0.798945973473153,7.019739789636836,-0.6108637822890849,0.08542975602550129
4.23,-1.9688406673434844,-0.7289598870041878,-0.05086020251814171,-0.6100960064168829,-0.7290726752641974,6.954209739721634,-0.6101322830691296,0.061567889843267
4.24,-1.975783666654786,-0.659756090874916,-0.056958464283341774,-0.6095891677617846,-0.6598753446390493,6.884609738061237,-0.6096185671485757,0.04186283572702454
